,Size,Method,MSE
421,25,Random Forest,0.46644402313079925
422,30,Random Forest,0.6633122192951951
423,35,Random Forest,0.7860148892254661
424,40,Random Forest,0.2566950174769879
425,45,Random Forest,0.6055887357636479
426,50,Random Forest,0.6450299979281588
427,55,Random Forest,0.7382662343416324
428,60,Random Forest,0.8989022038322236
429,65,Random Forest,0.3425984134928219
430,70,Random Forest,0.6970312514923372
431,75,Random Forest,0.4489615655965947
432,80,Random Forest,0.8725688401228751
433,85,Random Forest,0.3959276726647933
434,90,Random Forest,0.7187364342481919
435,95,Random Forest,0.7293474914479859
436,100,Random Forest,0.4431177347556722
437,105,Random Forest,0.5537566478451238
438,110,Random Forest,0.4737849023867748
439,115,Random Forest,0.587121338850423
440,120,Random Forest,0.4983595957074924
441,20,Random Forest,0.39349101247121737
442,25,Random Forest,1.0457326559789628
443,30,Random Forest,0.5814090012825714
444,35,Random Forest,0.12599607399637797
445,40,Random Forest,0.9883371633371834
446,45,Random Forest,0.6533940499919175
447,50,Random Forest,1.008734484057078
448,55,Random Forest,1.0635507879092487
449,60,Random Forest,0.49171587202951117
450,65,Random Forest,0.9525827016919871
451,70,Random Forest,0.6921833412369686
452,75,Random Forest,0.2655756434508606
453,80,Random Forest,1.0029297759162756
454,85,Random Forest,0.4727787774236222
455,90,Random Forest,0.5582704678971555
456,95,Random Forest,0.5009432616614361
457,100,Random Forest,0.7268800014369571
458,105,Random Forest,0.44250933418182925
459,110,Random Forest,0.649066039983381
460,115,Random Forest,0.5781375712706067
461,120,Random Forest,0.5783572889981206
462,20,Random Forest,1.6714158983513467
463,25,Random Forest,0.3966680418706784
464,30,Random Forest,0.9722607416722558
465,35,Random Forest,1.6421747604522323
466,40,Random Forest,1.0292652305526724
467,45,Random Forest,0.6296131125358134
468,50,Random Forest,0.4051216300413342
469,55,Random Forest,0.5064281800107623
470,60,Random Forest,0.33407854127558984
471,65,Random Forest,0.9422418175655808
472,70,Random Forest,0.35759514632908745
