,Size,Method,MSE
678,50,Random Forest,0.273407610182547
679,55,Random Forest,0.06985679794262467
680,60,Random Forest,0.19141495203677358
681,65,Random Forest,0.1634367794360046
682,70,Random Forest,0.0358003789595044
683,75,Random Forest,0.06888049619134283
684,80,Random Forest,0.16842057947227299
685,85,Random Forest,0.09677565111963621
686,90,Random Forest,0.11482077651414328
687,95,Random Forest,0.042136542908646824
688,100,Random Forest,0.12206644458358881
689,105,Random Forest,0.0364464892874086
690,110,Random Forest,0.12412461969720998
691,115,Random Forest,0.15447437833522623
692,120,Random Forest,0.06403062820142215
693,20,Random Forest,0.4647454237802263
694,25,Random Forest,0.09634305084230844
695,30,Random Forest,0.192602683395972
696,35,Random Forest,0.14029772321278255
697,40,Random Forest,0.15436417654892037
698,45,Random Forest,0.09285155639238124
699,50,Random Forest,0.059142488072965294
700,55,Random Forest,0.14265756300535026
701,60,Random Forest,0.16359146951639586
702,65,Random Forest,0.20464575765486373
703,70,Random Forest,0.16053570159264233
704,75,Random Forest,0.03331373069735326
705,80,Random Forest,0.08524573234418087
706,85,Random Forest,0.1260793908371608
707,90,Random Forest,0.09475986161635587
708,95,Random Forest,0.07573627943381905
709,100,Random Forest,0.101154392430988
710,105,Random Forest,0.1875978586087913
711,110,Random Forest,0.10259596122202722
712,115,Random Forest,0.10182140131260899
713,120,Random Forest,0.11913646512995683
714,20,Random Forest,0.09024456856414602
715,25,Random Forest,0.16719969273987995
716,30,Random Forest,0.1595442673732365
717,35,Random Forest,0.1952182710439943
718,40,Random Forest,0.0754867288316593
719,45,Random Forest,0.10753696508031695
720,50,Random Forest,0.03979447412824848
721,55,Random Forest,0.18903263311490273
722,60,Random Forest,0.14470861974907398
723,65,Random Forest,0.14871261800781077
724,70,Random Forest,0.1364376350266058
725,75,Random Forest,0.05849572598291716
726,80,Random Forest,0.08729268557600425
727,85,Random Forest,0.04371146774247211
728,90,Random Forest,0.10718721153392348
729,95,Random Forest,0.12885197069073148
730,100,Random Forest,0.16668575263608473
731,105,Random Forest,0.07572248658143683
732,110,Random Forest,0.11793566437217716
733,115,Random Forest,0.1363721325899743
734,120,Random Forest,0.15201990498438633
